FraudFound,AccidentArea,Age,VehiclePrice,PastNumberOfClaims,Fault
No,Urban,21,"more than 69,000",none,Policy Holder
No,Urban,34,"more than 69,000",none,Policy Holder
No,Urban,47,"more than 69,000",1,Policy Holder
No,Rural,65,"20,000 to 29,000",1,Third Party
No,Urban,27,"more than 69,000",none,Third Party
No,Urban,20,"more than 69,000",none,Third Party
No,Urban,36,"more than 69,000",1,Third Party
No,Urban,0,"more than 69,000",1,Policy Holder
No,Urban,30,"more than 69,000",none,Policy Holder
No,Urban,42,"more than 69,000",2 to 4,Policy Holder
No,Urban,71,"more than 69,000",none,Policy Holder
No,Urban,52,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"more than 69,000",1,Policy Holder
No,Rural,0,"more than 69,000",none,Third Party
No,Urban,61,"more than 69,000",none,Policy Holder
No,Urban,38,"more than 69,000",none,Policy Holder
No,Urban,41,"more than 69,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Third Party
No,Urban,32,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"more than 69,000",2 to 4,Third Party
No,Urban,40,"20,000 to 29,000",1,Policy Holder
No,Urban,47,"20,000 to 29,000",1,Policy Holder
No,Urban,63,"20,000 to 29,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",none,Third Party
No,Urban,45,"more than 69,000",more than 4,Policy Holder
No,Urban,60,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,21,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,42,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Urban,47,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",1,Policy Holder
No,Urban,42,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Third Party
No,Urban,42,"more than 69,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",none,Third Party
